u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,junction,maxspeed,access,ref,bridge,width,tunnel
245665307,1643351841,0,22854153,False,D K Sandu Marg,secondary,False,64.199,"LINESTRING (72.8978484 19.0564351, 72.8980875 19.0568813, 72.89811 19.0569555)",,,,,,,,
245665344,9311818794,0,22854141,False,Road No.11,residential,False,7.8,"LINESTRING (72.9005503 19.0567284, 72.9004761 19.0567297)",,,,,11,,,
245665344,1643351828,0,617622259,True,D Saraswati Marg (Central Avenue),secondary_link,False,79.453,"LINESTRING (72.9005503 19.0567284, 72.9005357 19.056014)",2,,,yes,,,,
245665344,1367092933,0,"[22854155, 22854141]",False,Road No.11,residential,"[False, True]",390.444,"LINESTRING (72.9005503 19.0567284, 72.9038347 19.0566933, 72.9038496 19.0570998)",,,,,11,,,
245665354,10207397917,0,1238346018,True,,trunk_link,False,12.586,"LINESTRING (72.8872739 19.056904, 72.887368 19.056974)",2,,,,,,,
245665354,1643351843,0,1267855607,True,S G Barve Marg (C S T Road),secondary,False,9.697,"LINESTRING (72.8872739 19.056904, 72.887222 19.0569761)",,,,,,,,
245665375,245665475,0,22854155,False,,residential,False,72.456,"LINESTRING (72.9038382 19.0572667, 72.9038418 19.0579183)",,,,,,,,
245665375,1367092933,0,22854155,False,,residential,True,18.597,"LINESTRING (72.9038382 19.0572667, 72.9038496 19.0570998)",,,,,,,,
245665375,245665419,0,22854176,False,Road 12,residential,False,344.341,"LINESTRING (72.9038382 19.0572667, 72.9005625 19.0573258)",,,,,,,,
245665419,9311818792,0,22854176,False,Road 12,residential,False,7.811,"LINESTRING (72.9005625 19.0573258, 72.9004882 19.0573272)",,,,,,,,
245665419,245665375,0,22854176,False,Road 12,residential,True,344.341,"LINESTRING (72.9005625 19.0573258, 72.9038382 19.0572667)",,,,,,,,
245665419,1643351839,0,617622259,True,D Saraswati Marg (Central Avenue),secondary_link,False,52.06,"LINESTRING (72.9005625 19.0573258, 72.9005529 19.0568577)",2,,,yes,,,,
245665475,245665495,0,22854108,False,Road 13,residential,False,343.328,"LINESTRING (72.9038418 19.0579183, 72.900576 19.0579894)",,,,,,,,
245665475,1651414451,0,22854155,False,,residential,False,2.766,"LINESTRING (72.9038418 19.0579183, 72.9038469 19.0579427)",,,,,,,,
245665475,245665375,0,22854155,False,,residential,True,72.456,"LINESTRING (72.9038418 19.0579183, 72.9038382 19.0572667)",,,,,,,,
245665495,9311818791,0,22854108,False,Road 13,residential,False,7.8,"LINESTRING (72.900576 19.0579894, 72.9005018 19.0579907)",,,,,,,,
245665495,245665475,0,22854108,False,Road 13,residential,True,343.328,"LINESTRING (72.900576 19.0579894, 72.9038418 19.0579183)",,,,,,,,
245665495,245665419,0,617622259,True,D Saraswati Marg (Central Avenue),secondary_link,False,73.803,"LINESTRING (72.900576 19.0579894, 72.9005625 19.0573258)",2,,,yes,,,,
245665583,10207397919,0,438980153,False,,residential,False,11.935,"LINESTRING (72.8869918 19.0573215, 72.8870832 19.0573852)",,,,,,,,
245665583,7379608705,0,1267855607,True,S G Barve Marg (C S T Road),secondary,False,78.068,"LINESTRING (72.8869918 19.0573215, 72.8865503 19.0578861)",,,,,,,,
245665597,2322141826,0,22854151,False,Road 14,residential,False,340.545,"LINESTRING (72.9038277 19.0585235, 72.9005881 19.0585824)",,,,yes,,,,
245665597,245665680,0,22854155,False,,residential,False,66.145,"LINESTRING (72.9038277 19.0585235, 72.9038573 19.0591177)",,,,,,,,
245665597,1651414451,0,22854155,False,,residential,True,64.614,"LINESTRING (72.9038277 19.0585235, 72.9038469 19.0579427)",,,,,,,,
245665637,1651421946,0,22854121,False,Road No 18,tertiary,True,40.456,"LINESTRING (72.8984173 19.0583939, 72.8987242 19.0586135)",,,,,,,,
245665637,4357273825,0,22854153,False,D K Sandu Marg,secondary,True,37.209,"LINESTRING (72.8984173 19.0583939, 72.8983472 19.0580659)",,,,,,,,
245665637,1651404921,0,259332585,False,D K Sandu Marg,secondary,False,43.508,"LINESTRING (72.8984173 19.0583939, 72.8984818 19.0587804)",,,,,,,,
