osmid,y,x,street_count,highway,geometry
1651414424,19.0560004,72.9091288,4,,POINT (72.9091288 19.0560004)
1651414430,19.0565214,72.908355,4,,POINT (72.908355 19.0565214)
1651414431,19.0566904,72.9086954,3,,POINT (72.9086954 19.0566904)
1651414448,19.0578971,72.9086944,3,,POINT (72.9086944 19.0578971)
1651414449,19.0579234,72.9086604,3,,POINT (72.9086604 19.0579234)
1651414450,19.0579419,72.9043388,3,,POINT (72.9043388 19.0579419)
1651414451,19.0579427,72.9038469,3,,POINT (72.9038469 19.0579427)
1651414452,19.0579985,72.905158,3,,POINT (72.905158 19.0579985)
1651414458,19.0583401,72.9090763,1,,POINT (72.9090763 19.0583401)
1651414460,19.0585956,72.8997946,3,,POINT (72.8997946 19.0585956)
1651414471,19.0599206,72.9040099,3,,POINT (72.9040099 19.0599206)
1651414472,19.0607089,72.8939124,3,,POINT (72.8939124 19.0607089)
1651414478,19.0619132,72.8978241,3,,POINT (72.8978241 19.0619132)
1651414481,19.0621954,72.8982197,3,,POINT (72.8982197 19.0621954)
1651414487,19.0627241,72.8958332,4,,POINT (72.8958332 19.0627241)
1651421871,19.0532244,72.8999853,3,,POINT (72.8999853 19.0532244)
1651421877,19.0539122,72.897995,3,,POINT (72.897995 19.0539122)
1651421946,19.0586135,72.8987242,3,,POINT (72.8987242 19.0586135)
1651421957,19.0603073,72.9017589,3,,POINT (72.9017589 19.0603073)
1651421959,19.0605879,72.8970626,3,,POINT (72.8970626 19.0605879)
1651421961,19.0606236,72.8985443,3,,POINT (72.8985443 19.0606236)
1651421963,19.0616529,72.9017485,3,,POINT (72.9017485 19.0616529)
1654348854,19.0549338,72.8848162,3,,POINT (72.8848162 19.0549338)
1654348871,19.0580731,72.8829602,4,,POINT (72.8829602 19.0580731)
1654348885,19.0592241,72.882506,3,,POINT (72.882506 19.0592241)
1654348910,19.0607299,72.8844858,4,,POINT (72.8844858 19.0607299)
1654383155,19.0553338,72.9106739,3,,POINT (72.9106739 19.0553338)
1654383160,19.0561675,72.9066577,3,,POINT (72.9066577 19.0561675)
1654383162,19.0562649,72.9078555,3,,POINT (72.9078555 19.0562649)
1654383165,19.0570802,72.907337,1,,POINT (72.907337 19.0570802)
1654383187,19.0586451,72.9121009,4,,POINT (72.9121009 19.0586451)
1654383197,19.0590035,72.911094,3,,POINT (72.911094 19.0590035)
1654383209,19.0590648,72.9120462,4,,POINT (72.9120462 19.0590648)
1654383213,19.0591023,72.9132422,1,,POINT (72.9132422 19.0591023)
1654383238,19.0596636,72.9119916,4,,POINT (72.9119916 19.0596636)
1654383278,19.0604609,72.9104548,3,,POINT (72.9104548 19.0604609)
1654383282,19.0605933,72.9119202,3,,POINT (72.9119202 19.0605933)
1665624924,19.0646506,72.9110644,3,,POINT (72.9110644 19.0646506)
1665625025,19.0687246,72.9042299,3,,POINT (72.9042299 19.0687246)
1665625040,19.068818,72.904366,3,,POINT (72.904366 19.068818)
1665625106,19.070418,72.9080512,3,,POINT (72.9080512 19.070418)
1665625108,19.0702686,72.9076426,4,,POINT (72.9076426 19.0702686)
1665625137,19.0706255,72.9072376,4,traffic_signals,POINT (72.9072376 19.0706255)
1665625168,19.0709565,72.9079441,3,,POINT (72.9079441 19.0709565)
1665625199,19.0712744,72.9084175,3,traffic_signals,POINT (72.9084175 19.0712744)
1665625258,19.0716428,72.9081405,4,traffic_signals,POINT (72.9081405 19.0716428)
1665625285,19.0720396,72.9078396,3,,POINT (72.9078396 19.0720396)
1665625298,19.0722239,72.9079779,3,,POINT (72.9079779 19.0722239)
1665625322,19.0722957,72.9091216,3,,POINT (72.9091216 19.0722957)
1665625327,19.0727734,72.9102429,3,,POINT (72.9102429 19.0727734)
1665625334,19.0730143,72.9108272,4,,POINT (72.9108272 19.0730143)
1665625343,19.0734532,72.918987,3,,POINT (72.918987 19.0734532)
1665625357,19.0743249,72.9054641,3,,POINT (72.9054641 19.0743249)
1665625359,19.0739716,72.9183013,3,,POINT (72.9183013 19.0739716)
1665625370,19.0742797,72.916444,1,,POINT (72.916444 19.0742797)
1665625383,19.0745487,72.9196007,3,,POINT (72.9196007 19.0745487)
1665625384,19.07457,72.9151458,3,,POINT (72.9151458 19.07457)
1665625386,19.0749281,72.9190977,3,,POINT (72.9190977 19.0749281)
1665625408,19.0754685,72.9153509,3,,POINT (72.9153509 19.0754685)
1665625432,19.0766877,72.9167908,4,,POINT (72.9167908 19.0766877)
1665625434,19.0769493,72.9180145,1,,POINT (72.9180145 19.0769493)
1665625437,19.0771309,72.9162004,3,,POINT (72.9162004 19.0771309)
1665625439,19.0774019,72.9174364,3,,POINT (72.9174364 19.0774019)
1665625440,19.0777746,72.9166829,3,,POINT (72.9166829 19.0777746)
1665625450,19.0779519,72.9168131,3,,POINT (72.9168131 19.0779519)
1665625451,19.0781341,72.9161894,4,,POINT (72.9161894 19.0781341)
1665625452,19.0783959,72.91583,3,,POINT (72.91583 19.0783959)
1683617366,19.0680593,72.9027291,3,,POINT (72.9027291 19.0680593)
1738882048,19.0501745,72.919863,3,,POINT (72.919863 19.0501745)
1738882054,19.0496677,72.9197035,3,,POINT (72.9197035 19.0496677)
1903616901,19.048486,72.9173813,3,,POINT (72.9173813 19.048486)
1903627624,19.0511138,72.9183951,3,,POINT (72.9183951 19.0511138)
1903627628,19.0499144,72.9175434,4,,POINT (72.9175434 19.0499144)
2143584813,19.0550925,72.9068025,3,,POINT (72.9068025 19.0550925)
2146269431,19.0715688,72.9050212,3,,POINT (72.9050212 19.0715688)
2146269442,19.0701291,72.9035547,3,,POINT (72.9035547 19.0701291)
2146269444,19.0716126,72.9072031,3,,POINT (72.9072031 19.0716126)
2146269450,19.0721856,72.9021811,4,,POINT (72.9021811 19.0721856)
2146269452,19.0717056,72.9031061,4,,POINT (72.9031061 19.0717056)
2146269461,19.0707005,72.9021849,3,,POINT (72.9021849 19.0707005)
2146269465,19.0725118,72.9037176,3,,POINT (72.9037176 19.0725118)
2146270424,19.0729103,72.9033706,3,,POINT (72.9033706 19.0729103)
2146270425,19.0718754,72.9028058,3,,POINT (72.9028058 19.0718754)
2146270810,19.0720977,72.904292,3,,POINT (72.904292 19.0720977)
2146270811,19.0713254,72.9036318,3,,POINT (72.9036318 19.0713254)
2146273510,19.0700204,72.9010267,4,,POINT (72.9010267 19.0700204)
2146273512,19.0681456,72.9016993,4,,POINT (72.9016993 19.0681456)
2146273513,19.0676384,72.9001335,3,,POINT (72.9001335 19.0676384)
2146273514,19.068792,72.9018696,1,,POINT (72.9018696 19.068792)
2146273515,19.0693023,72.9019313,3,,POINT (72.9019313 19.0693023)
2146273517,19.0683369,72.9005846,3,,POINT (72.9005846 19.0683369)
2146273519,19.068836,72.9012339,1,,POINT (72.9012339 19.068836)
2146273520,19.0698271,72.9026716,1,,POINT (72.9026716 19.0698271)
2146273790,19.0711314,72.9045406,3,,POINT (72.9045406 19.0711314)
2146279195,19.0706797,72.9051942,1,,POINT (72.9051942 19.0706797)
2163935132,19.0709141,72.9014549,4,,POINT (72.9014549 19.0709141)
2163950391,19.0684617,72.906125,3,,POINT (72.906125 19.0684617)
2163950393,19.0673122,72.9045749,3,,POINT (72.9045749 19.0673122)
2163950400,19.0675919,72.9039124,3,,POINT (72.9039124 19.0675919)
