u,v,length
1367092952,10279771641,82.606
1367092952,10207397921,11.927
1367092973,6574225213,208.706
1367092973,1367092999,313.143
1367092973,1651414449,246.879
1367092986,1367093036,86.635
1367092999,1367092973,313.143
1367092999,1651414471,71.198
1367092999,1367093036,162.389
1367093009,10151560370,7.386
1367093009,1366857555,158.486
1367093036,1367092986,86.635
1367093036,1651421963,122.364
1367093036,1367092999,162.389
1367093063,4357309659,71.134
1367093063,1367093072,216.433
1367093063,8693180277,55.629999999999995
1367093072,8693180279,52.749
1367093072,1367093063,216.433
1367093072,4357309652,90.56
1367093074,2246660993,84.34
1367093074,10264297687,11.445
1367093082,2248802788,69.093
1367093082,2246471748,59.156
1367093082,1367093122,212.526
1367093086,1367093122,113.175
1367093086,2248802788,204.762
1367093086,8693180279,73.78999999999999
1367093105,2246471748,47.181
1367093105,10923992388,18.278
1367093105,2246471860,119.65299999999999
1367093112,4357309677,70.316
1367093112,10882788619,10.317
1367093112,2804444332,566.769
1367093122,2246471861,48.052
1367093122,1367093086,113.175
1367093122,1367093082,212.526
1367093147,1367093181,98.644
1367093147,4264430286,83.78
1367093147,12330461932,101.803
1367093155,1367093164,18.088
1367093155,10264297691,9.135
1367093164,10207397929,8.289
1367093164,1366008977,132.043
1367093170,11038640722,23.41
1367093170,1367093220,126.002
1367093170,2246471860,119.078
1367093181,1367093147,98.644
1367093181,4264430400,84.704
1367093181,2246471836,99.508
1367093183,8711707695,40.947
1367093183,10923992388,196.737
1367093183,1367093218,229.76600000000002
1367093218,1367093220,82.943
1367093218,1367093183,229.76600000000002
1367093218,2246471860,133.292
1367093220,1367093227,44.549
1367093220,1367093218,82.943
1367093220,1367093170,126.002
1367093227,1367093220,44.549
1367093227,2246471980,71.425
1367093227,11038640722,186.50799999999998
1367093348,4357309677,396.30999999999995
1367093353,1366009007,47.595
1392485609,2246472422,98.177
1392485609,2246472414,106.776
1392485609,11603190365,14.432
1451876569,1451889994,42.101
1451876569,9931893591,40.274
1451876569,1451880139,162.199
1451880130,12334312402,8.193
1451880139,1451880141,191.78
1451880139,1451876569,162.199
1451880141,2246472876,34.468
1451880141,1451880139,191.78
1451880141,1451889994,21.522
1451889981,1451889982,116.357
1451889982,4357300475,65.152
1451889982,2246472876,58.25
1451889982,1451889981,116.357
1451889993,2246472876,133.111
1451889994,1451876569,42.101
1451889994,2246472539,129.843
1451889994,1451880141,21.522
1451898156,11136120782,62.145
